time_step,dt,h,time,index,position,velocity,density
0,0.0,0.9999999999999998,0.0,0,0.05,0.0,4.829166666666668
0,0.0,0.9999999999999998,0.0,1,0.15,0.0,5.265166666666667
0,0.0,0.9999999999999998,0.0,2,0.25,0.0,5.613166666666668
0,0.0,0.9999999999999998,0.0,3,0.35,0.0,5.855166666666668
0,0.0,0.9999999999999998,0.0,4,0.44999999999999996,0.0,5.979166666666669
0,0.0,0.9999999999999998,0.0,5,0.5499999999999999,0.0,5.979166666666669
0,0.0,0.9999999999999998,0.0,6,0.65,0.0,5.855166666666667
0,0.0,0.9999999999999998,0.0,7,0.75,0.0,5.613166666666668
0,0.0,0.9999999999999998,0.0,8,0.85,0.0,5.265166666666667
0,0.0,0.9999999999999998,0.0,9,0.95,0.0,4.8291666666666675
